category_id,category_name,category_description,brand_id,brand_name,country_of_origin,is_premium,product_id,product_name,sku,package_size_ml,age_range_from,age_range_to,price_per_unit,discount_percent,stock_quantity,product_description,main_ingredients
2,Sữa Bột Cho Trẻ Nhỏ (1-3 tuổi),Sữa bột dành cho trẻ em từ 1-3 tuổi,8,Aptamil,Đức,True,16,Aptamil Essensis 2,APTAMIL-ESSENSIS-2-900,900,6,36,950000,0,60,Sữa bột cao cấp cho trẻ 6 tháng - 3 tuổi,"Sữa tươi Đức, DHA, Prebiotics, Probiotics"
1,Sữa Bột Cho Em Bé (0-12 tháng),Sữa bột công thức dành cho trẻ em từ 0-12 tháng tuổi,9,Meiji,Nhật Bản,False,17,Meiji Infant Formula số 1,MEIJI-INFANT-1-800,800,0,12,529000,0,90,Sữa nhập khẩu Nhật Bản cho trẻ sơ sinh,"Sữa tươi Nhật, DHA, FOS, Omega-3"
2,Sữa Bột Cho Trẻ Nhỏ (1-3 tuổi),Sữa bột dành cho trẻ em từ 1-3 tuổi,9,Meiji,Nhật Bản,False,18,Meiji Chilmil số 2,MEIJI-CHILMIL-2-850,850,6,36,515000,5,75,Sữa Nhật Bản cho trẻ 6-36 tháng,"Sữa tươi Nhật, DHA, Canxi, Vitamin D"
4,Sữa Tiện Lợi (Ready to Drink),"Sữa uống liền đã pha sẵn, tiện lợi sử dụng ngay",10,Cô Gái Hà Lan,Hà Lan,False,19,Cô Gái Hà Lan Sữa Tươi,COGAI-HALAN-1L,1000,0,100,32000,0,500,"Sữa tươi tiêu thụ phổ biến, sữa nguyên chất",Sữa tươi nguyên chất 100%
1,Sữa Bột Cho Em Bé (0-12 tháng),Sữa bột công thức dành cho trẻ em từ 0-12 tháng tuổi,1,Vinamilk,Việt Nam,True,20,Vinamilk Yoko Gold,VINA-YOKO-GOLD-850,850,0,12,450000,5,130,Sữa mát cao cấp cho trẻ sơ sinh,"Sữa tươi, MFGM, HMO, GOS, Probiotics"
1,Sữa Bột Cho Em Bé (0-12 tháng),Sữa bột công thức dành cho trẻ em từ 0-12 tháng tuổi,2,Friso,Hà Lan,True,21,Friso Gold 2,FRISO-GOLD-2-400,400,6,24,180000,5,95,Sữa bột Friso cho trẻ 6-24 tháng,"Sữa tươi Hà Lan, DHA, ARA, Prebiotics"
2,Sữa Bột Cho Trẻ Nhỏ (1-3 tuổi),Sữa bột dành cho trẻ em từ 1-3 tuổi,3,NAN,Thụy Sĩ,True,22,NAN HA 2,NAN-HA2-900,900,6,24,520000,3,110,Sữa Nestlé cho trẻ 6-24 tháng,"Sữa tươi, HMO, Probiotics, DHA"
2,Sữa Bột Cho Trẻ Nhỏ (1-3 tuổi),Sữa bột dành cho trẻ em từ 1-3 tuổi,7,Dielac,Việt Nam,False,23,Colosbaby Gold 1+,COLOS-GOLD-1-800,800,12,24,520000,8,85,Sữa bột Colosbaby cho trẻ 1-2 tuổi,"Sữa bột, Colostrum, DHA, Canxi"
4,Sữa Tiện Lợi (Ready to Drink),"Sữa uống liền đã pha sẵn, tiện lợi sử dụng ngay",5,TH True Milk,Việt Nam,False,24,TH True Milk Không Đường,THTRUE-NODAU-1L,1000,18,100,33000,0,350,"Sữa tươi không đường, phù hợp người ăn kiêng","Sữa tươi nguyên chất, không đường"
2,Sữa Bột Cho Trẻ Nhỏ (1-3 tuổi),Sữa bột dành cho trẻ em từ 1-3 tuổi,6,Similac,Mỹ,False,25,Similac GainPlus IQ,SIMILAC-GAIN-IQ-400,400,12,36,350000,12,115,Sữa Abbott hỗ trợ tăng cân cho trẻ 1-3 tuổi,"Sữa bột, MFGM, DHA, Choline"
1,Sữa Bột Cho Em Bé (0-12 tháng),Sữa bột công thức dành cho trẻ em từ 0-12 tháng tuổi,4,Enfamil,Mỹ,False,26,Enfamil A+ 1,ENFAMIL-AP1-400,400,0,12,398000,0,100,Sữa công thức Mỹ cho trẻ sơ sinh,"Sữa bột, MFGM, DHA, ARA"
3,Sữa Bột Cho Trẻ Mẫu Giáo (3-6 tuổi),"Sữa bột cho trẻ em từ 3-6 tuổi, hỗ trợ phát triển toàn diện",9,Meiji,Nhật Bản,False,27,Meiji Kodomil số 3,MEIJI-KODOMIL-3-850,850,36,72,498000,10,60,Sữa Meiji cho trẻ 3 tuổi trở lên,"Sữa tươi Nhật, DHA, Canxi, Vitamin"
1,Sữa Bột Cho Em Bé (0-12 tháng),Sữa bột công thức dành cho trẻ em từ 0-12 tháng tuổi,8,Aptamil,Đức,True,28,Aptamil Duobiotik,APTAMIL-DUO-800,800,0,12,795000,0,55,Sữa Hà Lan cao cấp với 2 loại probiotics,"Sữa tươi Hà Lan, Probiotics kép, DHA, FOS"
2,Sữa Bột Cho Trẻ Nhỏ (1-3 tuổi),Sữa bột dành cho trẻ em từ 1-3 tuổi,7,Dielac,Việt Nam,False,29,Dielac Alpha Gold 2,DIELAC-ALPHA-2-800,800,6,24,360000,12,160,Sữa Dielac cho trẻ 6-24 tháng,"Sữa bột, DHA, Canxi, Vitamin, Khoáng chất"
1,Sữa Bột Cho Em Bé (0-12 tháng),Sữa bột công thức dành cho trẻ em từ 0-12 tháng tuổi,6,Similac,Mỹ,False,30,Blackmores NewBorn Formula số 1,BLACKMORES-NB-1-900,900,0,12,555000,0,70,Sữa bột Úc cho trẻ sơ sinh,"Sữa tươi Úc, Probiotics, FOS, DHA, Alpha-lactalbumin"
